City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,thompson,CA,55.7435,-97.8558,75.36,43,20,17.27,few clouds
72,tiksi,RU,71.6872,128.8694,46.29,96,100,3.33,light rain
73,kahului,US,20.8947,-156.47,91.42,43,20,14.97,few clouds
74,yellowknife,CA,62.456,-114.3525,63.12,67,75,4.61,broken clouds
75,cidreira,BR,-30.1811,-50.2056,58.77,90,100,11.56,overcast clouds
76,banda aceh,ID,5.5577,95.3222,78.84,73,91,13.51,overcast clouds
77,rocha,UY,-34.4833,-54.3333,43.84,88,92,5.37,overcast clouds
78,kodiak,US,57.79,-152.4072,60.31,59,20,5.75,few clouds
79,baiyin,CN,36.5583,104.2081,73.33,60,49,5.86,scattered clouds
80,bandar-e anzali,IR,37.4727,49.4622,77.11,70,2,5.93,clear sky
81,ilulissat,GL,69.2167,-51.1,46.42,81,100,5.75,overcast clouds
82,bengkulu,ID,-3.8004,102.2655,74.44,87,11,5.03,few clouds
83,abha,SA,18.2164,42.5053,66.02,82,0,0.0,clear sky
84,vryburg,ZA,-26.9566,24.7284,59.49,32,32,14.25,scattered clouds
85,sidrolandia,BR,-20.9319,-54.9614,73.76,49,100,4.27,light rain
86,east london,ZA,-33.0153,27.9116,67.3,86,100,19.04,light rain
87,kyabram,AU,-36.3167,145.05,42.87,89,10,4.07,clear sky
88,airai,TL,-8.9266,125.4092,57.42,57,15,3.02,few clouds
89,bukama,CD,-9.2,25.85,71.69,32,0,3.09,clear sky
90,chicama,PE,-7.8447,-79.1469,61.34,69,46,8.88,scattered clouds
91,macaubas,BR,-13.0194,-42.6986,77.23,29,13,5.77,few clouds
92,alice springs,AU,-23.7,133.8833,35.15,69,0,0.0,clear sky
93,mackay,AU,-21.15,149.2,64.69,62,3,12.62,clear sky
94,grand island,US,40.925,-98.342,77.29,78,100,18.41,overcast clouds
95,mindelo,CV,16.8901,-24.9804,80.15,83,75,12.66,broken clouds
96,chokurdakh,RU,70.6333,147.9167,48.43,50,100,14.32,overcast clouds
97,faanui,PF,-16.4833,-151.75,77.11,70,82,24.87,broken clouds
98,casambalangan,PH,18.3765,122.1274,81.03,84,100,8.3,overcast clouds
99,atar,MR,20.5169,-13.0499,99.39,26,6,15.79,clear sky
100,new norfolk,AU,-42.7826,147.0587,35.1,89,12,2.62,few clouds
101,guanica,PR,17.9716,-66.908,87.98,77,15,18.41,few clouds
102,saldanha,ZA,-33.0117,17.9442,55.45,94,31,13.82,scattered clouds
103,tsaratanana,MG,-16.7833,47.65,63.28,68,0,8.99,clear sky
104,pitimbu,BR,-7.4706,-34.8086,75.79,74,46,10.8,scattered clouds
105,kapaa,US,22.0752,-159.319,82.72,78,75,11.5,broken clouds
106,nalut,LY,30.3333,10.85,85.8,27,16,16.67,few clouds
107,lethem,GY,3.3803,-59.7968,82.85,68,82,3.31,broken clouds
108,fortuna,US,40.5982,-124.1573,72.93,74,75,13.8,broken clouds
109,novoseleznevo,RU,55.6821,69.2056,59.56,75,97,6.11,overcast clouds
110,verkh-chebula,RU,56.0308,87.6218,55.36,87,70,1.63,broken clouds
111,leningradskiy,RU,69.3833,178.4167,32.45,96,100,20.8,light snow
112,san antonio,US,29.4241,-98.4936,100.85,44,40,17.27,scattered clouds
113,bathsheba,BB,13.2167,-59.5167,83.01,94,20,10.36,few clouds
114,oranjemund,NA,-28.55,16.4333,54.16,86,0,5.3,clear sky
115,ucluelet,CA,48.9329,-125.5528,80.91,58,0,7.0,clear sky
116,puerto ayora,EC,-0.7393,-90.3518,75.16,87,62,5.01,broken clouds
117,moussoro,TD,13.6408,16.4901,83.71,63,83,12.55,broken clouds
118,moroto,UG,2.5345,34.6666,69.06,69,74,4.76,light rain
119,upernavik,GL,72.7868,-56.1549,42.46,83,84,8.3,broken clouds
120,tonekabon,IR,36.8163,50.8738,77.36,85,52,5.37,broken clouds
121,ilinge,ZA,-31.9768,27.0427,53.76,88,100,2.26,overcast clouds
