City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,vila velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
326,acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
327,bojnurd,IR,75.15,light intensity shower rain,37.4747,57.329,Hotel negin bojnourd
332,ryotsu,JP,81.61,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
333,kokopo,PG,79.63,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
337,port hawkesbury,CA,87.91,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
338,muroto,JP,83.43,overcast clouds,33.2833,134.15,Oota Ryokan
339,khash,IR,81.21,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
344,dwarka,IN,81.99,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
345,rapar,IN,84.2,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
347,langarud,IR,77.05,few clouds,37.197,50.1535,ستاد اسکان فرهنگیان لنگرود
349,phan thiet,VN,76.62,overcast clouds,10.9333,108.1,Hotel Saigon-PT
350,prince george,CA,80.26,few clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
356,itapolis,BR,76.3,light rain,-21.5956,-48.8128,Hotel dos Viajantes
358,nainpur,IN,76.08,overcast clouds,22.4333,80.1167,Railway Rest House
361,san francisco,US,84.76,few clouds,37.7749,-122.4194,Edwardian Hotel
365,makakilo city,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
374,san pedro,PH,76.32,moderate rain,14.35,121.0167,Palines Apartment and Guesthouse
376,montreal,CA,82.31,overcast clouds,45.5088,-73.5878,Delta Hotels by Marriott Montreal
380,nishihara,JP,83.48,few clouds,26.1842,127.7558,Minshuku Agaihama
382,puri,IN,81.12,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
384,cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
385,hobyo,SO,75.18,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
392,zhob,PK,79.65,few clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
397,katsuura,JP,81.79,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
399,palmer,US,88.92,broken clouds,42.1584,-72.3287,Wedgewood Motel
400,canatlan,MX,78.3,overcast clouds,24.5167,-104.7833,AUTOLAVADO El Negro
407,marsa matruh,EG,78.93,clear sky,31.3525,27.2453,Beau Site
408,labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
411,miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
412,shimoda,JP,86.11,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
413,jibuti,DJ,84.34,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
414,panubigan,PH,75.11,overcast clouds,7.4281,123.3466,Brent's Garden and Resorts
418,bonnyville,CA,80.4,clear sky,54.2668,-110.735,Best Western Bonnyville Inn & Suites
419,victoria,HK,83.97,overcast clouds,22.2855,114.1577,Mini Central
420,pak phanang,TH,79.41,overcast clouds,8.3511,100.202,Green Park Inn Hotel
421,edeia,BR,82.83,scattered clouds,-17.3383,-49.9314,Hotel Sol Nascente
427,ibra,OM,86.97,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
428,nhulunbuy,AU,79.41,few clouds,-12.2333,136.7667,East Arnhem Real Estate
431,sidi ali,DZ,75.47,clear sky,36.0998,0.4206,Complexe touristique haje bezine
436,shingu,JP,81.12,broken clouds,33.7333,135.9833,Shingu UI Hotel
439,kamaishi,JP,77.67,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
440,manaus,BR,88.3,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
441,kerewan,GM,76.82,light rain,13.4898,-16.0888,ADWAC Residents
445,valleyview,CA,75.24,scattered clouds,55.0667,-117.2859,Paradise Inn & Suites
447,aktau,KZ,79.38,overcast clouds,43.65,51.2,Silk Way Hotel
448,varadero,CU,86.76,broken clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
449,porto velho,BR,87.85,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
450,pombas,CV,78.58,broken clouds,17.1503,-25.0201,Paul Paradis
452,kloulklubed,PW,81.99,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
455,wanxian,CN,81.27,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
460,ammon,US,81.82,clear sky,43.4696,-111.9666,"Holiday Inn Express & Suites Idaho Falls, an IHG Hotel"
466,roma,US,89.67,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
468,tumpat,MY,78.78,few clouds,6.1978,102.171,Baan Tanyong B&B
476,kolondieba,ML,75.51,few clouds,11.0882,-6.8926,Hotel Dakan
477,cienfuegos,CU,77.14,heavy intensity rain,22.1461,-80.4356,Casa Claumar B2BPay
478,ayios nikolaos,GR,84.31,clear sky,38.4167,23.65,Lefkadi
481,trat,TH,80.82,heavy intensity rain,12.5,102.5,สวนหนิง-อัศ
482,bawku,GH,79.47,scattered clouds,11.0616,-0.2417,Ultimate Guest House
483,cairns,AU,76.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
485,along,IN,76.15,broken clouds,28.1667,94.7667,Hotel West
490,assiniboia,CA,82.22,scattered clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
497,sao felix do xingu,BR,85.46,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
499,sabha,LY,86.02,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
513,bar harbor,US,85.93,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
515,benghazi,LY,81.55,clear sky,32.1167,20.0667,Tibesti Hotel
519,yining,CN,77.95,broken clouds,29.0361,114.5636,Xiushui Hotel
521,carutapera,BR,77.38,broken clouds,-1.195,-46.02,Lidera
522,tuy hoa,VN,75.2,moderate rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
524,mizdah,LY,76.32,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
525,namatanai,PG,80.69,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
529,chalus,IR,78.26,broken clouds,36.655,51.4204,Rama Spa
533,taminango,CO,76.21,light rain,1.5749,-77.2867,Hotel plaza
535,sindos,GR,87.04,overcast clouds,40.6704,22.8055,Hotel Alexandros
538,cangzhou,CN,80.85,broken clouds,38.3167,116.8667,Jinji Express Hotel
539,itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
546,gushi,CN,85.42,overcast clouds,34.6425,109.5843,Wansheng Yuan Hotel
547,fare,PF,76.89,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
550,limbang,MY,77.11,broken clouds,4.75,115.0,Purnama Hotel
551,korla,CN,81.63,clear sky,41.7597,86.1469,Gulisitan Hotel
552,esna,EG,87.82,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
